resort,city,state,peak_elevation,base_elevation,vertical_drop,skiable_acreage,total_trails,total_lifts,avg_annual_snowfall,lift_ticket
Ski Bromont,Bromont,Quebec,1854,590,1264,450,141,9,190,54
Apex Mountain Resort,Penticton,British Columbia,7197,5197,2000,1112,79,4,236,65
Canyon Ski Area,Red Deer,Alberta,2950,2412,538,80,23,6,45,35
Fernie Alpine Resort,Fernie,British Columbia,7000,3450,3550,2500,142,10,360,90
Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,230,40,5,192,34
White Hills Ski Resort,Clarenville,Newfoundland and Labrador,1227,482,745,55,27,2,100,38
Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20,3,150,35
Mount Sima,Whitehorse,Yukon,3900,2857,1043,92,15,3,2057,37
Shames Mountain,Terrace,British Columbia,3900,2300,1600,225,28,3,480,43
Castle Mountain Resort [1],Pincher Creek,Alberta,7463,4630,2833,3592,94,6,354,71
Bolton Valley [2],Waterbury,Vermont,3150,2100,1704,300,71,6,312,69
Cooper [3],Leadville,Colorado,11700,10500,1200,470,60,5,260,70
Grand Targhee Resort [4],Alta,Wyoming,10121,7851,2270,2602,99,5,500,98
Stratton Mountain Resort [5],Winhall,Vermont,3875,1872,2003,670,99,11,171,125
Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260,1800,1200,60,8,396,135
Soldier Mountain,Fairfield,Idaho,7177,5756,1400,1180,36,2,2057,45
Pomerelle Mountain Resort,Albion,Idaho,9000,8000,1000,500,24,2,500,45
Schweitzer,Sandpoint,Idaho,6400,4000,2400,2900,92,7,300,86
Brundage Mountain,McCall,Idaho,7803,5882,1921,1920,46,5,320,73
Bogus Basin,Boise,Idaho,7582,5800,1800,2600,78,7,200,64
Sun Valley,Sun Valley,Idaho,9150,5750,3400,2563,121,18,22021,133
Panorama Mountain Resort,Invermere,British Columbia,7792,3773,4019,2847,120,10,196,92
Whitefish Mountain Resort,Kalispell,Montana,6817,4464,2353,3000,105,14,300,83
Arizona Snowbowl,Flagstaff,Arizona,11500,9200,2300,777,40,7,260,99
Telluride Ski Resort,Telluride,Colorado,13150,8725,4425,2000,147,18,309,149
Arapahoe Basin,Keystone,Colorado,13050,10520,2530,1428,147,9,350,109
Pajarito Mountain Ski Area [6],Los Alamos,New Mexico,10440,9000,1440,750,44,5,163,59
Taos Ski Valley [7],Taos,New Mexico,12481,9200,3281,1294,110,14,300,110
Ski Santa Fe [8],Santa Fe,New Mexico,12075,10350,1725,660,83,7,225,84
Big Sky Resort,Bozeman,Montana,11166,6800,4350,5800,317,36,400,170
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10900,9900,1000,600,9,2,2057,45
Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311,4139,2500,133,15,459,140
Loveland Ski Area,Georgetown,Colorado,13010,10800,2210,1800,94,11,422,89
Revelstoke Mountain Resort,Revelstoke,British Columbia,7300,1680,5620,3121,75,5,413,119
Mount Ashland Ski Area,Ashland,Oregon,7533,6383,1150,220,23,5,265,52
Keystone Resort,Keystone,Colorado,12408,9280,3128,3148,131,20,235,169
Breckenridge Ski Resort,Breckenridge,Colorado,12998,9600,3398,2908,187,34,353,189
Palisades Tahoe [9],Truckee,California,9050,6200,2850,6400,277,43,450,169
Mammoth Mountain,Mammoth Lakes,California,11053,7953,3100,3500,150,28,420,179
Heavenly Mountain Resort [10],South Lake Tahoe,California,10067,7200,3500,4800,94,30,360,164
Mount Shasta Ski Park,Mount Shasta,California,9200,7800,1435,425,32,4,275,69
Boreal,Soda Springs,California,7700,7200,500,380,41,8,400,74
Donner Ski Ranch,Norden,California,7781,7031,750,435,52,8,400,79
Homewood,Homewood,California,7881,6223,1658,1260,60,7,400,139
Kirkwood,Kirkwood,California,9800,7800,2000,2300,86,15,500,119
Northstar California,Truckee,California,8610,6330,2280,2904,93,19,350,169
Sierra-at-Tahoe,Twin Bridges,California,8852,6640,2212,2000,46,12,480,110
Sugar Bowl,Norden,California,8383,6883,1500,1500,94,13,500,121
Soda Springs,Soda Springs,California,7325,6673,652,200,15,2,400,50
Tahoe Donner,Truckee,California,7350,6750,600,120,10,3,400,94
Badger Pass,Yosemite National Park,California,8000,7200,800,90,10,5,300,59
Bear Valley,Angels Camp,California,8500,6600,1900,1280,67,10,359,105
Dodge Ridge,Sonora,California,8200,6600,1600,832,62,12,300,79
June Mountain,June Lake,California,10090,7545,2590,500,35,7,250,119
China Peak,Lakeshore,California,8709,7030,1673,1200,45,11,300,99
Alta Sierra,Wofford Heights,California,7091,6491,600,20247,6,2,8058,65
Buckhorn Ski and Snowboard Club,Three Points,California,7903,7203,680,40,5,2,180,64
Bear Mountain,Big Bear Lake,California,8805,7104,1665,198,24,12,100,115
Mount Baldy Ski Lifts,Mount Baldy,California,8600,6500,2100,800,26,4,170,99
Mount Waterman,Three Points,California,8030,7000,1030,150,27,3,180,60
Mountain High,Wrightwood,California,8200,6600,1600,290,59,13,13263,79
Snow Summit,Big Bear Lake,California,8174,6965,1209,240,30,14,100,115
Snow Valley Mountain Resort,Running Springs,California,7841,6800,1041,240,29,12,150,72
Wolf Creek Ski Area,Pagosa Springs,Colorado,11904,10300,1604,1600,77,7,465,76
Kicking Horse Resort,Golden,British Columbia,8218,3900,4314,3486,120,3,295,73
Eldora Mountain Resort [11],Nederland,Colorado,10600,9400,1200,680,53,12,300,129
Alyeska Resort [12],Girdwood,Alaska,3939,250,2500,1400,73,9,643,89
Marmot Basin [13],Jasper,Alberta,8570,5570,3000,1675,86,8,160,105
Lake Louise Mountain Resort [14],Lake Louise,Alberta,8650,5400,3250,4200,139,9,18069,84
Big White Ski Resort [15],Kelowna,British Columbia,7606,4950,2656,2800,118,16,294,76
Silver Star Mountain Resort [16],Vernon,British Columbia,6282,3789,2500,3269,128,12,275,81
Whistler Blackcomb [17],Whistler,British Columbia,7494,2140,5280,8171,200,26,404,93
Steamboat Springs [18],Steamboat Springs,Colorado,10568,6900,3668,2956,165,16,349,155
